real,fake
coco/coco2017/train2017/img134907.jpg,big/biggan-data/608/img005662.jpg
coco/coco2017/test2017/img026665.jpg,big/biggan-data/768/img007430.jpg
coco/coco2017/test2017/img014662.jpg,big/biggan-data/929/img009225.jpg
coco/coco2017/train2017/img115748.jpg,big/biggan-data/193/img001053.jpg
coco/coco2017/test2017/img038368.jpg,big/biggan-data/81/img007900.jpg
coco/coco2017/test2017/img039186.jpg,big/biggan-data/764/img007392.jpg
coco/coco2017/train2017/img073328.jpg,big/biggan-data/363/img002941.jpg
coco/coco2017/train2017/img144733.jpg,big/biggan-data/379/img003114.jpg
coco/coco2017/train2017/img149709.jpg,big/biggan-data/203/img001174.jpg
coco/coco2017/train2017/img064123.jpg,big/biggan-data/994/img009949.jpg
coco/coco2017/train2017/img048296.jpg,big/biggan-data/493/img004389.jpg
coco/coco2017/train2017/img089791.jpg,big/biggan-data/637/img005987.jpg
coco/coco2017/test2017/img019630.jpg,big/biggan-data/209/img001234.jpg
coco/coco2017/train2017/img115860.jpg,big/biggan-data/892/img008813.jpg
coco/coco2017/train2017/img139793.jpg,big/biggan-data/972/img009701.jpg
coco/coco2017/test2017/img003333.jpg,big/biggan-data/228/img001449.jpg
coco/coco2017/train2017/img087995.jpg,big/biggan-data/334/img002622.jpg
coco/coco2017/train2017/img041622.jpg,big/biggan-data/339/img002675.jpg
coco/coco2017/train2017/img108078.jpg,big/biggan-data/866/img008520.jpg
coco/coco2017/train2017/img138201.jpg,big/biggan-data/532/img004828.jpg
coco/coco2017/train2017/img064809.jpg,big/biggan-data/413/img003503.jpg
coco/coco2017/train2017/img131236.jpg,big/biggan-data/569/img005224.jpg
coco/coco2017/train2017/img158681.jpg,big/biggan-data/5/img004452.jpg
coco/coco2017/train2017/img106877.jpg,big/biggan-data/855/img008405.jpg
coco/coco2017/test2017/img024721.jpg,big/biggan-data/799/img007771.jpg
coco/coco2017/train2017/img150934.jpg,big/biggan-data/784/img007613.jpg
coco/coco2017/val2017/img161284.jpg,big/biggan-data/140/img000477.jpg
coco/coco2017/train2017/img107265.jpg,big/biggan-data/386/img003192.jpg
coco/coco2017/test2017/img003826.jpg,big/biggan-data/494/img004396.jpg
coco/coco2017/test2017/img038157.jpg,big/biggan-data/543/img004944.jpg
coco/coco2017/train2017/img088818.jpg,big/biggan-data/269/img001893.jpg
coco/coco2017/train2017/img059900.jpg,big/biggan-data/830/img008130.jpg
coco/coco2017/test2017/img000083.jpg,big/biggan-data/41/img003466.jpg
coco/coco2017/train2017/img120131.jpg,big/biggan-data/545/img004965.jpg
coco/coco2017/train2017/img087583.jpg,big/biggan-data/689/img006555.jpg
coco/coco2017/train2017/img118927.jpg,big/biggan-data/445/img003854.jpg
coco/coco2017/train2017/img050610.jpg,big/biggan-data/683/img006493.jpg
coco/coco2017/train2017/img144754.jpg,big/biggan-data/121/img000266.jpg
coco/coco2017/train2017/img084973.jpg,big/biggan-data/17/img000798.jpg
coco/coco2017/train2017/img105492.jpg,big/biggan-data/195/img001077.jpg
coco/coco2017/train2017/img071126.jpg,big/biggan-data/705/img006743.jpg
coco/coco2017/train2017/img095352.jpg,big/biggan-data/589/img005444.jpg
coco/coco2017/train2017/img123581.jpg,big/biggan-data/805/img007852.jpg
coco/coco2017/test2017/img014129.jpg,big/biggan-data/195/img001078.jpg
coco/coco2017/train2017/img126470.jpg,big/biggan-data/515/img004630.jpg
coco/coco2017/test2017/img006005.jpg,big/biggan-data/546/img004974.jpg
coco/coco2017/train2017/img096689.jpg,big/biggan-data/696/img006630.jpg
coco/coco2017/test2017/img007372.jpg,big/biggan-data/41/img003463.jpg
