real,fake
coco/coco2017/test2017/img014576.jpg,st/photo2monet/img012760.jpg
coco/coco2017/val2017/img161896.jpg,st/photo2monet/img017732.jpg
coco/coco2017/train2017/img056772.jpg,st/photo2monet/img016828.jpg
coco/coco2017/train2017/img070906.jpg,st/monet2photo/img009253.jpg
coco/coco2017/train2017/img046891.jpg,st/horse2zebra/img002797.jpg
coco/coco2017/test2017/img024486.jpg,st/photo2monet/img017092.jpg
coco/coco2017/train2017/img156242.jpg,st/photo2monet/img014454.jpg
coco/coco2017/train2017/img125696.jpg,st/photo2monet/img013505.jpg
coco/coco2017/train2017/img057762.jpg,st/photo2monet/img016102.jpg
coco/coco2017/train2017/img052734.jpg,st/photo2monet/img015838.jpg
coco/coco2017/train2017/img086841.jpg,st/horse2zebra/img001617.jpg
coco/coco2017/test2017/img015133.jpg,st/monet2photo/img009187.jpg
coco/coco2017/train2017/img084341.jpg,st/horse2zebra/img001609.jpg
coco/coco2017/train2017/img040678.jpg,st/monet2photo/img010609.jpg
coco/coco2017/train2017/img116378.jpg,st/photo2monet/img013529.jpg
coco/coco2017/train2017/img100249.jpg,st/photo2monet/img016604.jpg
coco/coco2017/train2017/img065740.jpg,st/photo2monet/img013723.jpg
coco/coco2017/train2017/img098458.jpg,st/horse2zebra/img004457.jpg
coco/coco2017/train2017/img089754.jpg,st/photo2monet/img017540.jpg
coco/coco2017/train2017/img048964.jpg,st/photo2monet/img011899.jpg
coco/coco2017/train2017/img067829.jpg,st/photo2monet/img016997.jpg
coco/coco2017/train2017/img121092.jpg,st/horse2zebra/img003981.jpg
coco/coco2017/test2017/img017482.jpg,st/monet2photo/img009400.jpg
coco/coco2017/train2017/img058314.jpg,st/photo2monet/img018077.jpg
coco/coco2017/test2017/img036639.jpg,st/horse2zebra/img002010.jpg
coco/coco2017/test2017/img038507.jpg,st/photo2monet/img014168.jpg
coco/coco2017/train2017/img057030.jpg,st/photo2monet/img012656.jpg
coco/coco2017/train2017/img106092.jpg,st/photo2monet/img016531.jpg
coco/coco2017/train2017/img130309.jpg,st/monet2photo/img008351.jpg
coco/coco2017/test2017/img030863.jpg,st/photo2monet/img017293.jpg
coco/coco2017/test2017/img034359.jpg,st/photo2monet/img016365.jpg
coco/coco2017/train2017/img110487.jpg,st/photo2monet/img010738.jpg
coco/coco2017/test2017/img005276.jpg,st/photo2monet/img013570.jpg
coco/coco2017/test2017/img022525.jpg,st/horse2zebra/img003768.jpg
coco/coco2017/test2017/img039782.jpg,st/horse2zebra/img002996.jpg
coco/coco2017/train2017/img051307.jpg,st/horse2zebra/img003787.jpg
coco/coco2017/train2017/img083569.jpg,st/horse2zebra/img000311.jpg
coco/coco2017/test2017/img035072.jpg,st/horse2zebra/img000729.jpg
coco/coco2017/test2017/img034008.jpg,st/photo2monet/img015576.jpg
coco/coco2017/train2017/img110659.jpg,st/photo2monet/img011648.jpg
coco/coco2017/test2017/img013404.jpg,st/monet2photo/img010087.jpg
coco/coco2017/train2017/img085167.jpg,st/horse2zebra/img004848.jpg
coco/coco2017/train2017/img093043.jpg,st/monet2photo/img010635.jpg
coco/coco2017/test2017/img010277.jpg,st/photo2monet/img016338.jpg
coco/coco2017/test2017/img017566.jpg,st/photo2monet/img015038.jpg
coco/coco2017/test2017/img008404.jpg,st/photo2monet/img012154.jpg
coco/coco2017/train2017/img106082.jpg,st/photo2monet/img017810.jpg
coco/coco2017/test2017/img018534.jpg,st/photo2monet/img017130.jpg
coco/coco2017/train2017/img080301.jpg,st/photo2monet/img016236.jpg
coco/coco2017/train2017/img156168.jpg,st/horse2zebra/img000142.jpg
coco/coco2017/test2017/img028071.jpg,st/horse2zebra/img003291.jpg
coco/coco2017/train2017/img051944.jpg,st/photo2monet/img015424.jpg
coco/coco2017/train2017/img064004.jpg,st/photo2monet/img013409.jpg
coco/coco2017/train2017/img134119.jpg,st/horse2zebra/img004001.jpg
coco/coco2017/train2017/img050687.jpg,st/horse2zebra/img000004.jpg
coco/coco2017/train2017/img137644.jpg,st/horse2zebra/img000222.jpg
coco/coco2017/train2017/img090388.jpg,st/photo2monet/img016791.jpg
coco/coco2017/test2017/img039026.jpg,st/horse2zebra/img002556.jpg
coco/coco2017/train2017/img132034.jpg,st/monet2photo/img009967.jpg
coco/coco2017/train2017/img158175.jpg,st/photo2monet/img015428.jpg
coco/coco2017/test2017/img027554.jpg,st/horse2zebra/img002705.jpg
coco/coco2017/train2017/img129273.jpg,st/horse2zebra/img000984.jpg
coco/coco2017/train2017/img151512.jpg,st/horse2zebra/img004058.jpg
coco/coco2017/train2017/img093131.jpg,st/photo2monet/img015666.jpg
coco/coco2017/train2017/img095488.jpg,st/photo2monet/img013139.jpg
coco/coco2017/train2017/img104601.jpg,st/monet2photo/img009930.jpg
coco/coco2017/train2017/img084500.jpg,st/horse2zebra/img002859.jpg
coco/coco2017/train2017/img112681.jpg,st/horse2zebra/img001422.jpg
coco/coco2017/train2017/img115429.jpg,st/horse2zebra/img002897.jpg
coco/coco2017/train2017/img133866.jpg,st/horse2zebra/img001324.jpg
coco/coco2017/train2017/img104903.jpg,st/photo2monet/img013865.jpg
coco/coco2017/train2017/img085915.jpg,st/monet2photo/img009140.jpg
coco/coco2017/test2017/img032844.jpg,st/photo2monet/img013428.jpg
coco/coco2017/train2017/img110940.jpg,st/photo2monet/img013321.jpg
coco/coco2017/train2017/img158510.jpg,st/monet2photo/img009757.jpg
coco/coco2017/train2017/img084476.jpg,st/photo2monet/img017609.jpg
coco/coco2017/train2017/img157843.jpg,st/horse2zebra/img004192.jpg
coco/coco2017/test2017/img031880.jpg,st/photo2monet/img016059.jpg
